conversation_id_str,created_at,favorite_count,full_text,id_str,image_url,in_reply_to_screen_name,lang,location,quote_count,reply_count,retweet_count,tweet_url,user_id_str,username
1783782288922468424,Sat Apr 27 21:21:02 +0000 2024,2,@msaid_didu @PDI_Perjuangan Padahal jika serius ungkap kecurangan Pemilu itu yaa hak angket DPR krn disana bicara sistem.Di MK hanya urusi perselisihan suara. Kerusakan sistem yg berujung kecurangan Pemilu penyelesaianx harus politik bkn hukum tp sekali lagi PDIP tdk berani krn ujungx Pak Lurah. Ada apa ?,1784331946635759947,,AndiDarwis71,in,Jakarta. Indonesia,0,0,0,https://twitter.com/AndiDarwis71/status/1784331946635759947,536083521,AndiDarwis71
1784242923363794954,Sat Apr 27 15:27:17 +0000 2024,1077,Rakyat desak terus hak angket @DPR_RI dan menolak pemilu curang. Mana suara @NasDem pendukung 01...? Malah Koalisi dengan kecurangan demi jabatan. https://t.co/4wreJk4rIF,1784242923363794954,https://pbs.twimg.com/ext_tw_video_thumb/1784242846670942208/pu/img/uI7FMC6w0QcJY9CO.jpg,,in,,7,62,424,https://twitter.com/H4T14K4LN4L42/status/1784242923363794954,1129672753651388416,H4T14K4LN4L42
1783890144506085556,Sat Apr 27 12:33:55 +0000 2024,0,@kompascom Sebagai anggota dpr gunakanlah hak angket....,1784199293739667755,,kompascom,in,,0,0,0,https://twitter.com/heran001/status/1784199293739667755,1463732072,heran001
1784196306375950549,Sat Apr 27 12:22:02 +0000 2024,88,Demi Rekonstruksi dan Tegaknya Hukum Demokrasi dan Konstitusi yg sdh terkontaminasi Maka seluruh jajaran Militan NKRI dan GenerAsi NusanTAra bestaRI menyerukan : KAWAL Hak Angket DPR-RI #MllitanNKRI 🇮🇩 #GANTARI 🇮🇩 #HakAngketDPR @WIDYA_N_2311 @RadjaRasta_ @DiniHrdianti DKK https://t.co/JtqPPTUCNk,1784196306375950549,https://pbs.twimg.com/ext_tw_video_thumb/1784196206266306560/pu/img/OfsUzz-597xFSE2l.jpg,,in,on earth,4,10,24,https://twitter.com/Bram_AbuBakar/status/1784196306375950549,1591515901936869376,Bram_AbuBakar
1784182077929468156,Sat Apr 27 11:25:30 +0000 2024,0,Pasca MK Tolak Gugatan Sengketa Pilpres 2024 Hak Angket di DPR Jadi Target? https://t.co/UPO5uJzFFz https://t.co/WEhOwrQRR3,1784182077929468156,https://pbs.twimg.com/media/GMKwIbpaYAAVFt7.jpg,,in,,1,0,0,https://twitter.com/yogiputranto24/status/1784182077929468156,1632274640163991558,yogiputranto24
1784121351181406719,Sat Apr 27 10:40:27 +0000 2024,0,@NinzExe07 @NasDem Restorasi DEMOKRASI = lancar bisnisnya+dapet jatah menteri juga dari Wowo makanya ogah dukung hak Angket DPR.,1784170741170356386,,NinzExe07,in,,0,0,0,https://twitter.com/Ex_TKI/status/1784170741170356386,1722605185107972096,Ex_TKI
1784160559761592423,Sat Apr 27 10:00:00 +0000 2024,0,Bobby Rizaldi Jelaskan Posisi Hak Angket DPR Soal Hasil Pilpres: Sudah Ada Putusan MK Apa Yang Mau Diangket? #airlanggahartarto #kuningkeren #PrabowoGibran #partaigolkar #golkarpedia https://t.co/dI5W4908gG https://t.co/wHqSC5igWH,1784160559761592423,https://pbs.twimg.com/ext_tw_video_thumb/1784021667230232576/pu/img/3FNs3AxOyopPFhLe.jpg,,in,,0,0,3,https://twitter.com/GolkarToday/status/1784160559761592423,1563779411304140801,GolkarToday
1784022699138019348,Sat Apr 27 09:42:36 +0000 2024,1,@tempodotco Adanya Dissenting Opinion alasan kuat Hak Angket penting dilaksanakan oleh DPR utk bongkar yg sesungguhnya terjadi pd gelaran Pilpres 2024.,1784156183978471881,,tempodotco,in,,0,0,0,https://twitter.com/Venus19702/status/1784156183978471881,1204363010380161024,Venus19702
1784056133138956359,Sat Apr 27 07:20:55 +0000 2024,2,@RomeoWalker19 Percuma jadi ketua dpr cuma matiin mic doang hak angket mandul. Apa gunanya lu?,1784120524366655981,,RomeoWalker19,in,,0,1,0,https://twitter.com/AbelDiara/status/1784120524366655981,1635064573102534656,AbelDiara
1783783348529487978,Sat Apr 27 06:46:43 +0000 2024,0,@ARSIPAJA Gimana ini DPR nya asyik mikirin Hak Angket.. hak rakyat terlupakan ,1784111921387442292,,ARSIPAJA,in,Medan Indonesia ,0,0,0,https://twitter.com/EdSanusi/status/1784111921387442292,1460413147060129793,EdSanusi
