"conversation_id_str","created_at","favorite_count","full_text","id_str","image_url","in_reply_to_screen_name","lang","location","quote_count","reply_count","retweet_count","tweet_url","user_id_str","username"
"1782953274179826147","Wed Apr 24 02:02:40 +0000 2024","0","Evaluasi Saja UU Pemilu dengan Instansi Terkait Tidak Perlu Hak Angkat Banyak Tugas Penting Menuju Indonesia Emas 🇮🇩 @DPR_RI @mprgoid @kemendagri @Kemenkumham_RI @undip @unpad @univ_indonesia @UB_Official @DivHumas_Polri @UGMYogyakarta @CSISIndonesia","1782953274179826147","","","in","Jakarta, Indonesia","0","0","0","https://twitter.com/HelmiHelmimoze/status/1782953274179826147","777273518","HelmiHelmimoze"
"1782952467539648634","Wed Apr 24 01:59:28 +0000 2024","1481","JOKOWI BISA DIMAKZULKAN...!! PKS GULIRKAN HAK ANGKET DI DPR JOKOWI BISA2 DISERET KE PENGADILAN? https://t.co/idVgbGK1KV","1782952467539648634","https://pbs.twimg.com/media/GL5R0d6bgAAcI_h.jpg","","in","","15","63","454","https://twitter.com/herculep638/status/1782952467539648634","1722014606712094720","herculep638"
"1782946070450081828","Wed Apr 24 01:34:03 +0000 2024","4","Jalan-jalan KONSTITUSIONAL menjatuhkan JOKOWI : 1. PEMILU jujur dan adil 2. HAK ANGKET DPR 3. PERADILAN MK 4. PEOPLE POWER Innalillahi suhartoyo gibran Anies #PeoplePowerOrDie https://t.co/4t7zuaOudH","1782946070450081828","https://pbs.twimg.com/media/GL5KhluboAAQVuV.jpg","","in","","0","0","0","https://twitter.com/RayatiZenny/status/1782946070450081828","1734227593015283712","RayatiZenny"
"1782784092125425695","Wed Apr 24 01:25:08 +0000 2024","0","@msaid_didu Siapa yg akan bawa hak angket?. Semua proses Pemilu itu lewat DPR prosesnya. Kan akhirnya senjata makan tuan saja","1782943826233233551","","msaid_didu","in","Menteng, Indonesia","0","0","0","https://twitter.com/anegara862/status/1782943826233233551","1605160452694380545","anegara862"
"1782619306305671264","Wed Apr 24 01:15:14 +0000 2024","0","@arankaru @KompasTV Hak angket gak berani.. takut kehilangan kursi ketua DPR utk mbak puan..hehe. PDIP tetap oposisi tapi tidak akan ada hak angket.","1782941336741814427","","arankaru","in","","0","0","0","https://twitter.com/amsiong41/status/1782941336741814427","1145282343105519622","amsiong41"
"1782550519896236145","Wed Apr 24 01:13:03 +0000 2024","0","@msaid_didu Pak didu kalau Anggota DPR tidak mau melakukan hal angket saya usul kan kepada bapak bagaimana kalau pak didu melaksanakan hak angket bersama faisal asagaf amin rais rafli harun roy gerung Egi sujana dan dr tifa. Serta di bantu para oenunggu nasi bungkus. Itu bisa sukses.","1782940787971649771","","msaid_didu","in","","0","0","0","https://twitter.com/jamalbolla2/status/1782940787971649771","1593475240222674945","jamalbolla2"
"1782938918238966133","Wed Apr 24 01:05:38 +0000 2024","1694","Zainal Arifin Mochtar Desak DPR Serius Ajukan Hak Angket Ungkap Kejahatan Demokrasi https://t.co/gAgdmFHHTj #TempoNasional","1782938918238966133","","","in","Indonesia","23","52","532","https://twitter.com/tempodotco/status/1782938918238966133","18129942","tempodotco"
"1782611570490798185","Wed Apr 24 00:58:42 +0000 2024","0","@geloraco Tapi g bisa bikin opsi gunakan hak angket di DPR tunjukan dong demi kepentingan masyarakat bukan partai segelintir yg terlibat kasus","1782937173572145245","","geloraco","in","Serang, Indonesia","0","0","0","https://twitter.com/DwiHarjoko9/status/1782937173572145245","1029966252335222784","DwiHarjoko9"
"1782700222248055070","Wed Apr 24 00:36:53 +0000 2024","1","@B_dzoel Sbnrnya gampang bagi PDIP buat makzulin jokowi &amp; menolak pencalonan gibran dgn mengelar hak angket. Ketua DPR puan partai yg menguasai sebagian besar parlemen","1782931685027566056","","B_dzoel","in","","0","0","1","https://twitter.com/komaria_cocom/status/1782931685027566056","1605179515084607489","komaria_cocom"
"1782930682496610754","Wed Apr 24 00:32:54 +0000 2024","0","@DPP_PKB @PKSejahtera akan semakin besar di masa depan jika masih konsisten menggulirkan #HakAngketDPR Bukan untuk menyerang... Tapi menegakan konstitusi... Menegakan kebenaran dan keadilan...","1782930682496610754","","DPP_PKB","in","Bandung","0","0","0","https://twitter.com/hepipurwana/status/1782930682496610754","201344280","hepipurwana"
